Time(Seconds), Inputs 
0.0, 0.27637115120887756 
1.0, 0.3308700621128082 
2.0, 0.3601433038711548 
3.0, 0.382286012172699 
4.0, 0.4035017788410187 
5.0, 0.42196547985076904 
6.0, 0.4399453103542328 
7.0, 0.4559420943260193 
8.0, 0.46963685750961304 
9.0, 0.4833326041698456 
10.0, 0.4963080585002899 
11.0, 0.5078141093254089 
12.0, 0.5193201303482056 
13.0, 0.5323710441589355 
14.0, 0.5441413521766663 
15.0, 0.5551586151123047 
16.0, 0.5661748051643372 
17.0, 0.5771909952163696 
18.0, 0.587357759475708 
19.0, 0.5972453355789185 
20.0, 0.6071339249610901 
21.0, 0.6170215010643005 
22.0, 0.6262026429176331 
23.0, 0.6343982815742493 
24.0, 0.6428154110908508 
25.0, 0.6512325406074524 
26.0, 0.6596497297286987 
27.0, 0.6679168343544006 
28.0, 0.6757856011390686 
29.0, 0.6836532950401306 
30.0, 0.6915220618247986 
31.0, 0.6993897557258606 
32.0, 0.7072585225105286 
33.0, 0.7148748636245728 
34.0, 0.7222339510917664 
35.0, 0.7287663817405701 
36.0, 0.7352988123893738 
37.0, 0.7418321967124939 
38.0, 0.7483646273612976 
39.0, 0.7546209096908569 
40.0, 0.7606028914451599 
41.0, 0.7665849328041077 
42.0, 0.7725679278373718 
43.0, 0.7785499691963196 
44.0, 0.7845329642295837 
45.0, 0.7903609871864319 
46.0, 0.7957946062088013 
47.0, 0.800887405872345 
48.0, 0.8059802055358887 
49.0, 0.8110730648040771 
50.0, 0.8161648511886597 
51.0, 0.8212577104568481 
52.0, 0.8263505101203918 
53.0, 0.8314433097839355 
54.0, 0.8365361094474792 
55.0, 0.8392931818962097 
56.0, 0.8425459861755371 
57.0, 0.8470287322998047 
58.0, 0.8515105843544006 
59.0, 0.8559923768043518 
60.0, 0.860474169254303 
61.0, 0.8649569153785706 
62.0, 0.8694387078285217 
63.0, 0.8739205598831177 
64.0, 0.8784023523330688 
65.0, 0.8821449279785156 
66.0, 0.8853033781051636 
67.0, 0.8887568712234497 
68.0, 0.892393171787262 
69.0, 0.8960294723510742 
70.0, 0.8996647596359253 
71.0, 0.9033011198043823 
72.0, 0.9069374203681946 
73.0, 0.9105737209320068 
74.0, 0.9142100214958191 
75.0, 0.9178463220596313 
76.0, 0.9214826226234436 
77.0, 0.924250602722168 
78.0, 0.9266916513442993 
79.0, 0.9293771982192993 
80.0, 0.9320636987686157 
81.0, 0.934749186038971 
82.0, 0.9374356865882874 
83.0, 0.9401211738586426 
84.0, 0.942807674407959 
85.0, 0.9454931616783142 
86.0, 0.9481786489486694 
87.0, 0.9508651494979858 
88.0, 0.9535506367683411 
89.0, 0.9567945003509521 
90.0, 0.9601407051086426 
91.0, 0.963486909866333 
92.0, 0.9668331146240234 
93.0, 0.9697391986846924 
94.0, 0.9724753499031067 
95.0, 0.9752125144004822 
96.0, 0.9779486656188965 
97.0, 0.980685830116272 
98.0, 0.9834229946136475 
99.0, 0.9861592054367065 
100.0, 0.19388389492375627 
