Time(Seconds), StateOfCharge
0.0, 0.7056630410742496
1.0, 0.06282221571849883
2.0, 0.9193434901047729
3.0, 0.28618999999999994
4.0, 0.20970000000000008
5.0, 0.44186802411771203
6.0, 0.2850599999999999
7.0, 1.0
8.0, 0.9952581456679247
9.0, 0.2190533333333334
10.0, 0.4611923513467729
11.0, 1.0
12.0, 0.07798865087173534
13.0, 0.5680630029752745
14.0, 0.6769386124179032
15.0, 0.0708993567867247
16.0, 0.7577262532022639
17.0, 0.9432066707386596
18.0, 0.3695555554681963
19.0, 0.2725866666666666
20.0, 0.5544995509888665
21.0, 0.9576822682722975
22.0, 0.7775086427234151
23.0, 0.2749036193130179
24.0, 1.0
25.0, 0.7963853744876076
26.0, 0.21887999999999996
27.0, 0.9138457436170921
28.0, 0.9490771758949076
29.0, 0.9883894425209181
30.0, 0.8082322055317119
31.0, 0.13695019841335956
32.0, 0.9965158677731675
33.0, 0.5920846328308672
34.0, 0.7077982252651362
35.0, 0.9333391063917102
36.0, 0.06282221571849883
37.0, 0.06284615038248524
38.0, 0.9023453958044994
39.0, 0.4520235329116845
40.0, 0.13737666666666662
41.0, 0.9234231135986732
42.0, 0.13737666666666662
43.0, 1.0
44.0, 0.07915654215230016
45.0, 0.8597468127967547
46.0, 0.7734288782664117
47.0, 0.5842470759651309
48.0, 0.21520419229409696
49.0, 0.21141333333333337
50.0, 0.1394666666666667
51.0, 0.3724414989080802
52.0, 1.0
53.0, 0.5394416405926662
54.0, 0.4578113995849264
55.0, 1.0
56.0, 1.0
57.0, 0.49590966838015954
58.0, 0.13923333333333332
59.0, 1.0
60.0, 0.9936842425697668
61.0, 0.0708993567867247
62.0, 1.0
63.0, 0.4726130142737195
64.0, 0.5101587491182031
65.0, 1.0
66.0, 0.28796
67.0, 1.0
68.0, 1.0
69.0, 0.9514541424309596
70.0, 0.2850599999999999
71.0, 0.9745416649027613
72.0, 0.23794887029288705
73.0, 0.9403876585586347
74.0, 0.06282221571849883
75.0, 0.8431418464544492
76.0, 1.0
77.0, 0.21887999999999996
78.0, 0.8767933007573907
79.0, 0.7320804792560801
80.0, 0.8814250837138508
81.0, 0.836721388380223
82.0, 1.0
83.0, 1.0
84.0, 1.0
85.0, 1.0
86.0, 0.7378749258828096
87.0, 0.9204433333333334
88.0, 0.28564171619369927
89.0, 1.0
90.0, 1.0
91.0, 0.2190533333333334
92.0, 0.21119333333333326
93.0, 0.17948333333333336
94.0, 0.2725866666666666
95.0, 0.8266006636756117
96.0, 0.2915366666666667
97.0, 1.0
98.0, 0.21119333333333326
99.0, 0.7147835748070698
100.0, 0.31121526299441044
101.0, 0.600996409087966
102.0, 0.638308752334958
103.0, 0.5964454247821985
104.0, 0.20970000000000008
105.0, 0.9460071848570277
106.0, 0.9986796736364641
107.0, 1.0
108.0, 1.0
109.0, 1.0
110.0, 0.6394706759508103
111.0, 0.7252628531855955
112.0, 0.7756061881198083
113.0, 0.0708993567867247
114.0, 0.29203333333333337
115.0, 0.4497361518828709
116.0, 0.9645366666666666
117.0, 0.9960227087749045
118.0, 1.0
119.0, 0.26298963875993814
120.0, 0.28618999999999994
121.0, 0.9620603466365009
122.0, 1.0
123.0, 0.7268584786027649
124.0, 0.2915366666666667
125.0, 1.0
126.0, 1.0
127.0, 0.6646712263742606
128.0, 0.8826801053239071
129.0, 0.21119333333333326
130.0, 0.9937285216556554
131.0, 1.0
132.0, 0.9824067568273981
133.0, 0.21887999999999996
134.0, 0.5179458369098712
135.0, 0.6684566487668457
136.0, 0.28796
137.0, 0.9983583084577113
138.0, 0.3931727161024866
139.0, 0.7344421953351947
140.0, 0.908162585151907
141.0, 0.21828999999999996
142.0, 0.3179892110966624
143.0, 1.0
144.0, 1.0
145.0, 0.43006441959838504
