Time(Seconds), StateOfCharge
0.0, 0.21678888074128388
1.0, 0.5114908051118211
2.0, 1.0
3.0, 0.1655308562118126
4.0, 0.5725766666666666
5.0, 0.28545
6.0, 1.0
7.0, 0.8984534248174391
8.0, 0.1258281127473859
9.0, 1.0
10.0, 0.2725866666666666
11.0, 0.8688528040468584
12.0, 0.9216274161803726
13.0, 1.0
14.0, 1.0
15.0, 0.37696141467655625
16.0, 0.9105764598127063
17.0, 0.13923333333333332
18.0, 0.27125990640593384
19.0, 1.0
20.0, 0.9956174141585418
21.0, 0.797212366500192
22.0, 0.16034028482731819
23.0, 0.21887999999999996
24.0, 0.1702509255923513
25.0, 0.9965781279018047
26.0, 0.3211704324400034
27.0, 0.2915366666666667
28.0, 0.7609367034497234
29.0, 0.3445511792491245
30.0, 0.8988785403445149
31.0, 0.9878400035765379
32.0, 0.6398593731103548
33.0, 0.29601046149252114
34.0, 1.0
35.0, 0.6188881651444271
36.0, 0.7991913658443921
37.0, 1.0
38.0, 0.37615801232456497
39.0, 1.0
40.0, 0.0795921731872933
41.0, 0.22414701137318171
42.0, 0.9772460862619808
43.0, 1.0
44.0, 0.6584078729473443
45.0, 0.28545
46.0, 0.6543880974915014
47.0, 0.13768333333333338
48.0, 0.48871954458750616
49.0, 0.4138425282413842
50.0, 0.35922539975496676
51.0, 1.0
52.0, 0.4336028160252157
53.0, 0.8339167417548878
54.0, 0.45800284860828233
55.0, 1.0
56.0, 0.6576546821576764
57.0, 1.0
58.0, 1.0
59.0, 0.8058747274250477
60.0, 0.9922663923000331
61.0, 0.6627798148818491
62.0, 0.4681730539805467
63.0, 0.0795921731872933
64.0, 1.0
65.0, 0.32796997875594114
66.0, 0.16952145237040853
67.0, 0.3643844506324741
68.0, 0.8939288043478261
69.0, 0.8539011504319333
70.0, 0.29203333333333337
71.0, 0.06282221571849883
72.0, 1.0
73.0, 1.0
74.0, 0.13695019841335956
75.0, 1.0
76.0, 0.6165188053404804
77.0, 0.7779664015879114
78.0, 0.533715622300106
79.0, 0.2190533333333334
80.0, 0.7898300191204589
81.0, 0.24829668937747496
82.0, 0.21119333333333326
83.0, 0.7142970960943703
84.0, 0.4733366468560884
85.0, 1.0
86.0, 0.7641540408108471
87.0, 0.9750866886893671
88.0, 0.6298436671177267
89.0, 0.8953143801895315
90.0, 0.680218267219917
91.0, 0.3653455551867221
92.0, 0.2190533333333334
93.0, 1.0
94.0, 0.9426363184079601
95.0, 1.0
96.0, 1.0
97.0, 0.21141333333333337
98.0, 0.5922728654404646
99.0, 0.2064166666666667
100.0, 0.28796
101.0, 1.0
102.0, 1.0
103.0, 1.0
104.0, 0.2064166666666667
105.0, 0.21760999999999994
106.0, 0.6830609986625055
107.0, 0.07904922690494331
108.0, 0.803157105084562
109.0, 0.9213085004166963
110.0, 0.8059013879485443
111.0, 0.13737666666666662
112.0, 1.0
113.0, 0.9831547569500027
114.0, 0.21828999999999996
115.0, 0.3656018427455499
116.0, 1.0
117.0, 0.5016568102819059
118.0, 0.9947014471355895
119.0, 0.9985026536743541
120.0, 0.9795712915303355
121.0, 0.495129424506951
122.0, 0.6290545904904157
123.0, 0.4360596050724637
124.0, 0.3494258225020194
125.0, 0.2725866666666666
126.0, 0.528556266254038
127.0, 1.0
128.0, 0.25388619756427594
129.0, 0.3921081602324617
130.0, 1.0
131.0, 0.5232348759585025
132.0, 1.0
133.0, 0.9683775842112464
134.0, 0.580809350372737
135.0, 0.6667895031374055
136.0, 1.0
137.0, 0.32755155020746896
138.0, 0.8333393819492106
139.0, 0.9074090037411667
140.0, 0.5195666666666666
141.0, 0.48327447186826944
142.0, 0.30921057372440036
143.0, 0.6873596711514379
144.0, 1.0
145.0, 1.0
146.0, 0.5814356366042488
147.0, 0.99707153816679
148.0, 0.13917666666666673
149.0, 0.740981378579003
150.0, 0.43018411075612356
151.0, 0.9392548700709673
152.0, 1.0
153.0, 0.5064403322798807
154.0, 0.13917666666666673
155.0, 0.9781842184634755
156.0, 0.9820165908753159
157.0, 0.5348327613941019
158.0, 0.13895000000000005
159.0, 0.9989981528824176
160.0, 0.5219466666666667
161.0, 0.6837015795997773
162.0, 0.28618999999999994
163.0, 0.06284615038248524
164.0, 1.0
165.0, 0.9872188072877006
166.0, 0.4486817565760142
167.0, 1.0
168.0, 0.45898160186263093
169.0, 0.9995828176143072
170.0, 0.9802941806780977
171.0, 0.9424084811948404
172.0, 0.5722328858869596
173.0, 0.980362707670555
174.0, 0.5069288876276685
175.0, 0.9999775212246025
176.0, 0.9931258691189754
177.0, 0.5360171235406122
178.0, 0.6911652610788894
179.0, 0.9981436504773766
180.0, 0.29323177947034207
181.0, 0.9306086420799774
182.0, 0.5903732732198799
183.0, 1.0
184.0, 1.0
185.0, 1.0
186.0, 0.13768333333333338
187.0, 0.9446849285498424
188.0, 0.2968035617107942
189.0, 0.9026834555839621
190.0, 0.3323943674976915
191.0, 0.9586693004729897
192.0, 0.7920704384904894
193.0, 0.13895000000000005
194.0, 0.5050233333333333
195.0, 0.3686262060175198
196.0, 1.0
197.0, 1.0
198.0, 0.7317543097424228
199.0, 0.8171993758127437
200.0, 1.0
201.0, 1.0
202.0, 0.9673710383994307
203.0, 1.0
204.0, 0.19358999999999993
205.0, 0.5373666666666667
206.0, 0.28545
207.0, 0.34862
208.0, 0.07798865087173534
209.0, 0.29751514088881365
210.0, 0.22413000000000002
211.0, 0.9739905639230373
212.0, 1.0
213.0, 1.0
214.0, 0.9748369182974836
215.0, 1.0
216.0, 1.0
217.0, 0.16930518801784591
218.0, 0.9701360216967538
219.0, 0.4253790281961518
220.0, 0.28796
221.0, 0.2850599999999999
222.0, 0.7208957627118644
223.0, 1.0
224.0, 0.08322206258070043
225.0, 0.7453034742242854
226.0, 0.9890735628179605
227.0, 0.8708906053067992
228.0, 0.21760999999999994
229.0, 0.4673641107561235
230.0, 0.6994552790202343
231.0, 0.2850599999999999
232.0, 0.353275321463897
233.0, 1.0
234.0, 0.9901702555465551
235.0, 0.13923333333333332
236.0, 1.0
237.0, 0.9914659438916528
238.0, 1.0
239.0, 0.7780415066373484
240.0, 0.23589507773167362
241.0, 1.0
242.0, 0.2915366666666667
243.0, 0.9459632353567625
244.0, 0.9424619358458548
245.0, 0.9190609093790868
246.0, 0.747426954046583
247.0, 0.45602480024017367
248.0, 0.9931482675475746
249.0, 0.33393110114831426
250.0, 1.0
251.0, 0.35849540369869204
252.0, 1.0
253.0, 0.4227252650867335
254.0, 0.726493386199782
255.0, 0.5802302392499191
256.0, 0.3546333398254878
257.0, 0.9476100064867303
258.0, 0.24439320131030376
259.0, 0.7597202077444543
260.0, 0.07915654215230016
261.0, 0.3931818484795969
262.0, 0.5697314111675151
263.0, 1.0
264.0, 0.8736766666666668
265.0, 0.8736766666666668
266.0, 0.13032666666666662
267.0, 0.9226824892049784
268.0, 0.3782736013205958
269.0, 1.0
270.0, 0.2850599999999999
271.0, 1.0
272.0, 0.28863666666666665
273.0, 0.5854966666666667
274.0, 0.2190533333333334
275.0, 0.662330926064227
276.0, 0.6749982536647546
277.0, 0.6979072267225171
278.0, 0.9564861479761114
279.0, 1.0
280.0, 0.3339428272251308
281.0, 0.4560870097012029
282.0, 0.6745892150083237
283.0, 0.9133341999913334
284.0, 1.0
285.0, 1.0
286.0, 0.3226866666666666
287.0, 0.9958137815877143
288.0, 1.0
289.0, 0.7098294234937148
290.0, 0.9911716963798847
291.0, 0.5985299349811396
292.0, 0.6048399999999999
293.0, 0.45384294993234103
294.0, 0.8395565464397596
295.0, 0.929538975139523
